task,model,prompt_version,split,n,agree,agreement,wilson_lo,wilson_hi,kappa,n_firm,agree_firm,agreement_firm,missing,usd,mean_dev_agreement,min_fold_agreement,passes,accepted
kind,gpt-4.1-mini,0,dev fold 2,10,5,0.5,0.23658959361548731,0.7634104063845126,0.43820224719101125,10,5,0.5,0,,,,,
kind,gpt-4.1-mini,0,dev fold 3,10,2,0.2,0.056680947980693314,0.5098431532792765,0.14893617021276598,9,1,0.1111111111111111,0,,,,,
kind,gpt-4.1-mini,0,working 40 pooled,40,15,0.375,0.2422277353579172,0.529678399454681,0.33862433862433866,39,14,0.358974358974359,0,0.0000,0.375,0.2,False,
maker,claude-sonnet-5,1,dev fold 0,10,7,0.7,0.39677321997956516,0.892210712513788,-0.11111111111111166,2,0,0.0,0,,,,,
maker,claude-sonnet-5,1,dev fold 1,10,5,0.5,0.23658959361548731,0.7634104063845126,-0.24999999999999994,3,0,0.0,0,,,,,
maker,claude-sonnet-5,1,dev fold 2,10,7,0.7,0.39677321997956516,0.892210712513788,0.0,3,0,0.0,0,,,,,
maker,claude-sonnet-5,1,dev fold 3,10,9,0.9,0.5958436145024278,0.9821242504842788,0.7560975609756099,3,2,0.6666666666666666,0,,,,,
maker,claude-sonnet-5,1,working 40 pooled,40,28,0.7,0.545696893456796,0.8192532908430471,0.13669064748201407,11,2,0.18181818181818182,0,0.0946,0.7,0.5,False,
maker,claude-sonnet-5,2,dev fold 0,10,9,0.9,0.5958436145024278,0.9821242504842788,0.6296296296296295,2,1,0.5,0,,,,,
maker,claude-sonnet-5,2,dev fold 1,10,7,0.7,0.39677321997956516,0.892210712513788,0.0,3,0,0.0,0,,,,,
maker,claude-sonnet-5,2,dev fold 2,10,8,0.8,0.49015684672072335,0.9433190520193067,0.44444444444444453,3,1,0.3333333333333333,0,,,,,
maker,claude-sonnet-5,2,dev fold 3,10,9,0.9,0.5958436145024278,0.9821242504842788,0.7560975609756099,3,2,0.6666666666666666,0,,,,,
maker,claude-sonnet-5,2,working 40 pooled,40,33,0.825,0.6804970794560755,0.9125469700311694,0.4766355140186914,11,4,0.36363636363636365,0,0.1317,0.825,0.7,True,
maker,claude-sonnet-5,2,sealed 10 (selected version),10,6,0.6,0.3126695474501864,0.8318224187964902,0.0,4,0,0.0,0,,,,,accepted
namestyle,claude-sonnet-5,1,dev fold 0,10,8,0.8,0.49015684672072335,0.9433190520193067,0.6666666666666667,7,6,0.8571428571428571,0,,,,,
namestyle,claude-sonnet-5,1,dev fold 1,10,6,0.6,0.3126695474501864,0.8318224187964902,0.19999999999999996,6,5,0.8333333333333334,0,,,,,
namestyle,claude-sonnet-5,1,dev fold 2,10,7,0.7,0.39677321997956516,0.892210712513788,0.5384615384615384,8,5,0.625,0,,,,,
namestyle,claude-sonnet-5,1,dev fold 3,10,5,0.5,0.23658959361548731,0.7634104063845126,0.25373134328358216,10,5,0.5,0,,,,,
namestyle,claude-sonnet-5,1,working 40 pooled,40,26,0.65,0.4950559699353738,0.7786566682895086,0.4666666666666667,31,21,0.6774193548387096,0,0.1126,0.65,0.5,False,
namestyle,claude-sonnet-5,2,dev fold 0,10,9,0.9,0.5958436145024278,0.9821242504842788,0.8412698412698413,7,7,1.0,0,,,,,
namestyle,claude-sonnet-5,2,dev fold 1,10,9,0.9,0.5958436145024278,0.9821242504842788,0.8,6,5,0.8333333333333334,0,,,,,
namestyle,claude-sonnet-5,2,dev fold 2,10,8,0.8,0.49015684672072335,0.9433190520193067,0.6551724137931035,8,6,0.75,0,,,,,
namestyle,claude-sonnet-5,2,dev fold 3,10,6,0.6,0.3126695474501864,0.8318224187964902,0.4285714285714285,10,6,0.6,0,,,,,
namestyle,claude-sonnet-5,2,working 40 pooled,40,32,0.8,0.6524239261814333,0.8950013502683314,0.6923076923076924,31,24,0.7741935483870968,0,0.1464,0.8,0.6,False,
namestyle,claude-sonnet-5,3,dev fold 0,10,9,0.9,0.5958436145024278,0.9821242504842788,0.8412698412698413,7,7,1.0,0,,,,,
namestyle,claude-sonnet-5,3,dev fold 1,10,10,1.0,0.7224598312333834,1.0,1.0,6,6,1.0,0,,,,,
namestyle,claude-sonnet-5,3,dev fold 2,10,10,1.0,0.7224598312333834,1.0,1.0,8,8,1.0,0,,,,,
namestyle,claude-sonnet-5,3,dev fold 3,10,8,0.8,0.49015684672072335,0.9433190520193067,0.5555555555555557,10,8,0.8,0,,,,,
namestyle,claude-sonnet-5,3,working 40 pooled,40,37,0.925,0.8013546984090248,0.9741644432281419,0.8842815814850531,31,29,0.9354838709677419,0,0.2145,0.925,0.8,True,
namestyle,claude-sonnet-5,3,sealed 10 (selected version),10,6,0.6,0.3126695474501864,0.8318224187964902,0.28571428571428575,7,4,0.5714285714285714,0,,,,,accepted
